...1;nombre;region;provincia;comuna;hogares;hectareas;area;observaciones;año;tipo
1182;Áreas Verdes;Maule;Talca;Constitución;11;0,82433971;5480,844181060;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2011;normales
1184;Avenida Bueras Ex-Línea Férrea;Maule;Talca;Empedrado;18;0,54279987;3586,094182190;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2011;normales
1188;René Schnaider;Maule;Talca;Talca;12;0,39917423;2646,946727815;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2019;normales
1190;Nueva Esperanza;Maule;Linares;Retiro;21;1,26179726;8228,042906080;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2019;normales
1192;Villa Las Estrellas;Maule;Linares;Retiro;13;1,19496498;7792,296566075;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2019;normales
1195;El Molino;Maule;Curicó;Molina;15;0,64352180;4302,035873945;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2022;normales
1196;Ignacio Carrera Pinto;Maule;Talca;Constitución;14;1,19495164;7945,384032590;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2022;normales
1197;La Mina 1;Maule;Talca;Constitución;26;0,58913457;3917,189416180;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2022;normales
1199;La Mina 2;Maule;Talca;Constitución;22;0,33104717;2201,154979990;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2022;normales
1201;Los Molinos;Maule;Talca;Constitución;23;0,64388564;4281,353298450;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2022;normales
1204;Santos Martinez;Maule;Curicó;Curicó;14;0,26697742;1787,948073350;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2022;normales
1206;Terreno Efe;Maule;Talca;Constitución;28;0,97622752;6491,948022800;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2022;normales
1210;Viñales Detrás De Las Letras;Maule;Talca;Constitución;13;4,25428212;28271,160385590;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2022;normales
1212;El Litre;Maule;Talca;Constitución;60;7,05045301;46770,458550710;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2022;grandes
1216;Sector la Aurora;Maule;Curicó;Teno;50;9,30558445;62555,185580260;NUEVO CAMPAMENTO;NA;normales
1222;San Gerónimo de Alderete;Maule;Linares;San Javier de Loncomilla;25;0,21818539;1440,649521535;NUEVO CAMPAMENTO NO PRIORIZADO A VALIDAR;NA;normales
1226;Rio Guaiquillo - Obispo Chavez autodenominado (Puerto Principe);Maule;Curicó;Curicó;200;4,99449887;33441,852382165;NUEVO CAMPAMENTO;NA;grandes
1381;Pozos Lastre;Maule;Linares;Retiro;13;2,19058119;14244,410406705;NUEVO CAMPAMENTO;NA;normales
